Daily and Multi-day air quality monitoring data
Measured data - All Data are GMT hour ending
Data for year 2010
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
09/12/2011,15/12/2011,,,,,,,,,,,,,,,,,,,45.46,V ngm-3,677.7,V ngm-3,19.86,V ngm-3,
23/11/2011,21/12/2011,15.36,V ngm-3,356.2,V ngm-3,16.84,V ngm-3,95.74,V ngm-3,2106.4,V ngm-3,42.01,V ngm-3,,,,,,,,,,,,,
15/12/2011,21/12/2011,,,,,,,,,,,,,,,,,,,31.17,V ngm-3,617.3,V ngm-3,14.55,V ngm-3,
21/12/2011,31/12/2011,12.47,V ngm-3,311.3,V ngm-3,16.22,V ngm-3,28.26,V ngm-3,657.9,V ngm-3,13.17,V ngm-3,,,,,,,,,,,,,
09/12/2011,31/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2011,31/12/2011,,,,,,,,,,,,,,,,,,,13.61,V ngm-3,309.2,V ngm-3,9.27,V ngm-3,
Data for year 2012
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
01/01/2012,11/01/2012,,,,,,,,,,,,,,,,,,,13.36,V ngm-3,303.4,V ngm-3,9.1,V ngm-3,
01/01/2012,18/01/2012,11.88,V ngm-3,296.4,V ngm-3,15.45,V ngm-3,27.76,V ngm-3,646.1,V ngm-3,12.94,V ngm-3,,,,,,,,,,,,,
11/01/2012,18/01/2012,,,,,,,,,,,,,,,,,,,34.11,V ngm-3,779.2,V ngm-3,74.8,V ngm-3,
18/01/2012,25/01/2012,,,,,,,,,,,,,,,,,,,16.29,V ngm-3,405.1,V ngm-3,11.49,V ngm-3,
25/01/2012,01/02/2012,,,,,,,,,,,,,,,,,,,25.39,V ngm-3,530.2,V ngm-3,24.19,V ngm-3,
01/02/2012,08/02/2012,,,,,,,,,,,,,,,,,,,38.98,V ngm-3,691.8,V ngm-3,34.37,V ngm-3,
18/01/2012,15/02/2012,15.71,V ngm-3,416.8,V ngm-3,27.95,V ngm-3,45.86,V ngm-3,1099.9,V ngm-3,36.81,V ngm-3,,,,,,,,,,,,,
08/02/2012,17/02/2012,,,,,,,,,,,,,,,,,,,19.45,V ngm-3,446.9,V ngm-3,31.03,V ngm-3,
17/02/2012,23/02/2012,,,,,,,,,,,,,,,,,,,13.51,V ngm-3,318.7,V ngm-3,9.92,V ngm-3,
01/01/2012,29/02/2012,,,,,,,,,,,,,,,,,,,,,,,,,
23/02/2012,29/02/2012,,,,,,,,,,,,,,,,,,,34.55,V ngm-3,461.2,V ngm-3,18.69,V ngm-3,
29/02/2012,08/03/2012,,,,,,,,,,,,,4.71,V ngm-3,160.1,V ngm-3,14.6,V ngm-3,27.82,V ngm-3,788.4,V ngm-3,49.29,V ngm-3,
15/02/2012,14/03/2012,16.38,V ngm-3,442.2,V ngm-3,18.04,V ngm-3,77.6,V ngm-3,1833.3,V ngm-3,43.42,V ngm-3,,,,,,,,,,,,,
08/03/2012,15/03/2012,,,,,,,,,,,,,7.52,V ngm-3,456.7,V ngm-3,77.51,V ngm-3,21.77,V ngm-3,864.9,V ngm-3,110.65,V ngm-3,
15/03/2012,21/03/2012,,,,,,,,,,,,,3.8,V ngm-3,140.6,V ngm-3,11.26,V ngm-3,22.34,V ngm-3,612.4,V ngm-3,38.37,V ngm-3,
21/03/2012,29/03/2012,,,,,,,,,,,,,8.1,V ngm-3,370.6,V ngm-3,28.02,V ngm-3,37.74,V ngm-3,1143.2,V ngm-3,60.54,V ngm-3,
29/03/2012,04/04/2012,,,,,,,,,,,,,2.78,V ngm-3,230.9,V ngm-3,9.74,V ngm-3,19.56,V ngm-3,615.8,V ngm-3,22.97,V ngm-3,
14/03/2012,11/04/2012,21.83,V ngm-3,642.6,V ngm-3,31.06,V ngm-3,67.2,V ngm-3,1565.6,V ngm-3,37.62,V ngm-3,,,,,,,,,,,,,
04/04/2012,11/04/2012,,,,,,,,,,,,,1.59,V ngm-3,56.5,V ngm-3,4.5,V ngm-3,,,,,,,
11/04/2012,18/04/2012,,,,,,,,,,,,,1.62,V ngm-3,82.9,V ngm-3,16.78,V ngm-3,23.23,V ngm-3,457.2,V ngm-3,22.57,V ngm-3,
18/04/2012,25/04/2012,,,,,,,,,,,,,1.98,V ngm-3,60.7,V ngm-3,5.59,V ngm-3,15.5,V ngm-3,373.6,V ngm-3,15.94,V ngm-3,
25/04/2012,02/05/2012,,,,,,,,,,,,,1.03,V ngm-3,76.9,V ngm-3,5.57,V ngm-3,14.86,V ngm-3,317.8,V ngm-3,12.7,V ngm-3,
11/04/2012,09/05/2012,12.99,V ngm-3,347.3,V ngm-3,20.72,V ngm-3,50.63,V ngm-3,1156.5,V ngm-3,28.09,V ngm-3,,,,,,,,,,,,,
02/05/2012,09/05/2012,,,,,,,,,,,,,13.01,V ngm-3,107.3,V ngm-3,11.04,V ngm-3,17.59,V ngm-3,363.5,V ngm-3,23.69,V ngm-3,
09/05/2012,16/05/2012,,,,,,,,,,,,,1.2,V ngm-3,74.6,V ngm-3,11.38,V ngm-3,11.39,V ngm-3,277.5,V ngm-3,11.62,V ngm-3,
16/05/2012,23/05/2012,,,,,,,,,,,,,2.42,V ngm-3,135,V ngm-3,13.55,V ngm-3,18.84,V ngm-3,537.1,V ngm-3,22.61,V ngm-3,
23/05/2012,31/05/2012,,,,,,,,,,,,,4.17,V ngm-3,343.3,V ngm-3,29.45,V ngm-3,15.4,V ngm-3,579.4,V ngm-3,39.3,V ngm-3,
09/05/2012,06/06/2012,12.88,V ngm-3,392.3,V ngm-3,18.06,V ngm-3,49.54,V ngm-3,1192,V ngm-3,68.38,V ngm-3,,,,,,,,,,,,,
31/05/2012,06/06/2012,,,,,,,,,,,,,2.02,V ngm-3,88,V ngm-3,7.62,V ngm-3,7.66,V ngm-3,224.9,V ngm-3,11.13,V ngm-3,
06/06/2012,14/06/2012,,,,,,,,,,,,,2.08,V ngm-3,73.8,V ngm-3,8.29,V ngm-3,9.97,V ngm-3,344.9,V ngm-3,18.84,V ngm-3,
14/06/2012,20/06/2012,,,,,,,,,,,,,1.21,V ngm-3,64.5,V ngm-3,5.85,V ngm-3,8.44,V ngm-3,240.2,V ngm-3,16.94,V ngm-3,
20/06/2012,28/06/2012,,,,,,,,,,,,,2.95,V ngm-3,121.9,V ngm-3,10.36,V ngm-3,9.27,V ngm-3,330.3,V ngm-3,27.15,V ngm-3,
06/06/2012,03/07/2012,12.02,V ngm-3,332.4,V ngm-3,12.87,V ngm-3,,,,,,,,,,,,,,,,,,,
06/06/2012,04/07/2012,,,,,,,69.37,V ngm-3,1605.8,V ngm-3,32.14,V ngm-3,,,,,,,,,,,,,
28/06/2012,04/07/2012,,,,,,,,,,,,,2.28,V ngm-3,70.8,V ngm-3,5.95,V ngm-3,7.44,V ngm-3,217,V ngm-3,8.74,V ngm-3,
